Year	Clutch	HatchlingID	HatchlingNumber	EggMass	IncTemp	MaxIncLength	ScaledDevMaxIncLength	AgeAtTrials	WinterHous	DaysWintHous	SCL2	CW2	PL2	PW2	BD2	NV2	VT2	Mass2	Round	RRTimeSec	LatencySec	ActiveRRTimeSec	RRTimeMin	LatencyMin	ActiveRRTimeMin
2019	3	11	3-1	12.8242	32	54	0	252	Aquatic	214	44.01	43.73	41.37	34.1	22.15	1.91	11.35	20.9503	3	NA	225	NA	NA	3.75	NA
2019	3	12	3-2	12.7036	26	85	-0.3668	224	Terrestrial	151	34.93	35.63	32.64	29.95	16.44	3.24	10.9	8.8368	1	56	1	55	0.933333333	0.016666667	0.916666667
2019	3	12	3-2	12.7036	26	85	-0.3668	224	Terrestrial	151	34.93	35.63	32.64	29.95	16.44	3.24	10.9	8.8368	2	7	1	6	0.116666667	0.016666667	0.1
2019	3	12	3-2	12.7036	26	85	-0.3668	224	Terrestrial	151	34.93	35.63	32.64	29.95	16.44	3.24	10.9	8.8368	3	3	1	2	0.05	0.016666667	0.033333333
2019	3	13	3-3	13.3475	30	60	0	246	Terrestrial	151	34.61	35.66	33.38	26.64	16.34	2.18	11.04	8.7961	1	342	325	17	5.7	5.416666667	0.283333333
2019	3	13	3-3	13.3475	30	60	0	246	Terrestrial	151	34.61	35.66	33.38	26.64	16.34	2.18	11.04	8.7961	2	260	252	8	4.333333333	4.2	0.133333333
2019	3	13	3-3	13.3475	30	60	0	246	Terrestrial	151	34.61	35.66	33.38	26.64	16.34	2.18	11.04	8.7961	3	92	86	6	1.533333333	1.433333333	0.1
2019	3	14	3-4	12.9516	28	68	-0.1555	239	Aquatic	214	46.26	45.71	40.61	34.15	22.17	3.53	11.86	21.2676	1	139	134	5	2.316666667	2.233333333	0.083333333
2019	3	14	3-4	12.9516	28	68	-0.1555	239	Aquatic	214	46.26	45.71	40.61	34.15	22.17	3.53	11.86	21.2676	2	131	105	26	2.183333333	1.75	0.433333333
2019	3	14	3-4	12.9516	28	68	-0.1555	239	Aquatic	214	46.26	45.71	40.61	34.15	22.17	3.53	11.86	21.2676	3	164	160	4	2.733333333	2.666666667	0.066666667
2019	3	15	3-5	11.7062	30	60	-0.206	247	Aquatic	214	41.24	41.86	37.8	31.18	20.22	3.79	12.62	16.1722	1	62	1	61	1.033333333	0.016666667	1.016666667
2019	3	15	3-5	11.7062	30	60	-0.206	247	Aquatic	214	41.24	41.86	37.8	31.18	20.22	3.79	12.62	16.1722	2	98	96	2	1.633333333	1.6	0.033333333
2019	3	15	3-5	11.7062	30	60	-0.206	247	Aquatic	214	41.24	41.86	37.8	31.18	20.22	3.79	12.62	16.1722	3	305	96	209	5.083333333	1.6	3.483333333
2019	3	16	3-6	13.783	24	105	-0.1615	203	Terrestrial	151	36.41	38.14	33	28.1	16.18	2.63	11.84	10.1794	1	792	1	791	13.2	0.016666667	13.18333333
2019	3	16	3-6	13.783	24	105	-0.1615	203	Terrestrial	151	36.41	38.14	33	28.1	16.18	2.63	11.84	10.1794	2	140	95	45	2.333333333	1.583333333	0.75
2019	3	16	3-6	13.783	24	105	-0.1615	203	Terrestrial	151	36.41	38.14	33	28.1	16.18	2.63	11.84	10.1794	3	NA	13	NA	NA	0.216666667	NA
2019	3	17	3-7	10.3004	28	68	-0.622	242	Terrestrial	151	33.04	32.7	30.79	24.47	14.58	2.1	10.99	6.3699	1	194	107	87	3.233333333	1.783333333	1.45
2019	3	17	3-7	10.3004	28	68	-0.622	242	Terrestrial	151	33.04	32.7	30.79	24.47	14.58	2.1	10.99	6.3699	2	4	1	3	0.066666667	0.016666667	0.05
2019	3	17	3-7	10.3004	28	68	-0.622	242	Terrestrial	151	33.04	32.7	30.79	24.47	14.58	2.1	10.99	6.3699	3	58	55	3	0.966666667	0.916666667	0.05
2019	3	18	3-8	12.1754	32	54	-0.7565	254	Terrestrial	151	34	35.25	32.66	27.65	16.27	1.6	10.92	9.2765	1	99	77	22	1.65	1.283333333	0.366666667
2019	3	18	3-8	12.1754	32	54	-0.7565	254	Terrestrial	151	34	35.25	32.66	27.65	16.27	1.6	10.92	9.2765	2	267	69	198	4.45	1.15	3.3
2019	3	18	3-8	12.1754	32	54	-0.7565	254	Terrestrial	151	34	35.25	32.66	27.65	16.27	1.6	10.92	9.2765	3	85	58	27	1.416666667	0.966666667	0.45
2019	3	19	3-9	11.975	24	105	-0.323	205	Aquatic	200	34.87	36.48	32.98	26.33	16.51	4.45	11.42	9.6144	1	57	51	6	0.95	0.85	0.1
2019	3	19	3-9	11.975	24	105	-0.323	205	Aquatic	200	34.87	36.48	32.98	26.33	16.51	4.45	11.42	9.6144	2	3	1	2	0.05	0.016666667	0.033333333
2019	3	19	3-9	11.975	24	105	-0.323	205	Aquatic	200	34.87	36.48	32.98	26.33	16.51	4.45	11.42	9.6144	3	242	15	227	4.033333333	0.25	3.783333333
2019	3	20	3-10	11.6321	26	85	-0.6113	226	Aquatic	214	36.71	38.49	32.75	27.69	17.32	2.76	11.15	10.5106	1	221	149	72	3.683333333	2.483333333	1.2
2019	3	20	3-10	11.6321	26	85	-0.6113	226	Aquatic	214	36.71	38.49	32.75	27.69	17.32	2.76	11.15	10.5106	2	197	191	6	3.283333333	3.183333333	0.1
2019	3	20	3-10	11.6321	26	85	-0.6113	226	Aquatic	214	36.71	38.49	32.75	27.69	17.32	2.76	11.15	10.5106	3	483	214	269	8.05	3.566666667	4.483333333
2019	4	21	4-1	10.0909	32	54	-1.1348	249	Aquatic	214	38.5	38.7	34.67	29.14	18.05	2.3	9.8	11.6255	1	1006	365	641	16.76666667	6.083333333	10.68333333
2019	4	21	4-1	10.0909	32	54	-1.1348	249	Aquatic	214	38.5	38.7	34.67	29.14	18.05	2.3	9.8	11.6255	2	NA	220	NA	NA	3.666666667	NA
2019	4	21	4-1	10.0909	32	54	-1.1348	249	Aquatic	214	38.5	38.7	34.67	29.14	18.05	2.3	9.8	11.6255	3	NA	221	NA	NA	3.683333333	NA
2019	4	22	4-2	11.0535	30	60	-0.6181	243	Aquatic	214	38.57	38.51	35.02	29.42	17.78	2.66	9.86	11.8188	1	391	136	255	6.516666667	2.266666667	4.25
2019	4	22	4-2	11.0535	30	60	-0.6181	243	Aquatic	214	38.57	38.51	35.02	29.42	17.78	2.66	9.86	11.8188	2	331	329	2	5.516666667	5.483333333	0.033333333
2019	4	22	4-2	11.0535	30	60	-0.6181	243	Aquatic	214	38.57	38.51	35.02	29.42	17.78	2.66	9.86	11.8188	3	145	140	5	2.416666667	2.333333333	0.083333333
2019	4	23	4-4	10.4226	24	105	-0.0808	196	Terrestrial	151	33.31	32.54	30.77	23.52	15.94	2.19	10.52	7.0714	1	NA	26	NA	NA	0.433333333	NA
2019	4	23	4-4	10.4226	24	105	-0.0808	196	Terrestrial	151	33.31	32.54	30.77	23.52	15.94	2.19	10.52	7.0714	2	700	65	635	11.66666667	1.083333333	10.58333333
2019	4	23	4-4	10.4226	24	105	-0.0808	196	Terrestrial	151	33.31	32.54	30.77	23.52	15.94	2.19	10.52	7.0714	3	NA	72	NA	NA	1.2	NA
2019	4	24	4-5	11.0899	28	68	-0.4665	235	Aquatic	214	42.06	42.76	38.95	31.87	20.38	2.61	11.05	15.988	1	40	34	6	0.666666667	0.566666667	0.1
2019	4	24	4-5	11.0899	28	68	-0.4665	235	Aquatic	214	42.06	42.76	38.95	31.87	20.38	2.61	11.05	15.988	2	NA	136	NA	NA	2.266666667	NA
2019	4	24	4-5	11.0899	28	68	-0.4665	235	Aquatic	214	42.06	42.76	38.95	31.87	20.38	2.61	11.05	15.988	3	NA	86	NA	NA	1.433333333	NA
2019	4	25	4-6	10.3178	32	54	-1.513	250	Terrestrial	151	31.95	34.74	30.05	26.51	14.55	1.83	9.02	6.6417	1	338	51	287	5.633333333	0.85	4.783333333
2019	4	25	4-6	10.3178	32	54	-1.513	250	Terrestrial	151	31.95	34.74	30.05	26.51	14.55	1.83	9.02	6.6417	2	524	82	442	8.733333333	1.366666667	7.366666667
2019	4	25	4-6	10.3178	32	54	-1.513	250	Terrestrial	151	31.95	34.74	30.05	26.51	14.55	1.83	9.02	6.6417	3	358	81	277	5.966666667	1.35	4.616666667
