Year	Clutch	HatchlingID	HatchlingNumber	EggMass	IncTemp	MaxIncLength	ScaledDevMaxIncLength	AgeAtTrials	WinterHous	DaysWintHous	SCL1	CW1	PL1	PW1	BD1	NV1	VT1	Mass1	SCL2	CW2	PL2	PW2	BD2	NV2	VT2	Mass2	DaysBwMeas	SCLgrD	CWgrD	PLgrD	PWgrD	MassgrD
2019	3	12	3-2	12.7036	26	85	-0.3668	224	Terrestrial	151	33.07	29.45	31.57	23.33	17.65	2.81	10.33	9.6967	34.93	35.63	32.64	29.95	16.44	3.24	10.9	8.8368	220	0.008454545	0.028090909	0.004863636	0.030090909	-0.003908636
2019	3	13	3-3	13.3475	30	60	0	246	Terrestrial	151	33.55	28.88	31.81	22.83	18.34	2.9	10.85	10.3641	34.61	35.66	33.38	26.64	16.34	2.18	11.04	8.7961	244	0.004344262	0.027786885	0.006434426	0.015614754	-0.00642623
2019	3	14	3-4	12.9516	28	68	-0.1555	239	Aquatic	214	33.84	29.99	32.19	23.89	18.27	2.52	10.9	10.1238	46.26	45.71	40.61	34.15	22.17	3.53	11.86	21.2676	236	0.052627119	0.066610169	0.035677966	0.043474576	0.047219492
2019	3	15	3-5	11.7062	30	60	-0.206	247	Aquatic	214	32.23	30.9	30.14	23.21	17.57	3.56	11.86	9.2463	41.24	41.86	37.8	31.18	20.22	3.79	12.62	16.1722	245	0.03677551	0.044734694	0.031265306	0.032530612	0.02826898
2019	3	16	3-6	13.783	24	105	-0.1615	203	Terrestrial	151	33.91	32.59	30.93	25.88	18.01	2.58	10.93	10.6146	36.41	38.14	33	28.1	16.18	2.63	11.84	10.1794	199	0.012562814	0.027889447	0.01040201	0.011155779	-0.002186935
2019	3	17	3-7	10.3004	28	68	-0.622	242	Terrestrial	151	31.87	30.71	29.86	23.58	16.08	2.35	10.22	8.0064	33.04	32.7	30.79	24.47	14.58	2.1	10.99	6.3699	237	0.004936709	0.008396624	0.003924051	0.003755274	-0.006905063
2019	3	18	3-8	12.1754	32	54	-0.7565	254	Terrestrial	151	32.57	29.77	31.46	23.39	17.55	3.32	10.26	9.3119	34	35.25	32.66	27.65	16.27	1.6	10.92	9.2765	249	0.005742972	0.022008032	0.004819277	0.017108434	-0.000142169
2019	3	19	3-9	11.975	24	105	-0.323	205	Aquatic	200	32.06	32.19	30.51	23.08	17.4	3	11.17	9.1561	34.87	36.48	32.98	26.33	16.51	4.45	11.42	9.6144	202	0.013910891	0.021237624	0.012227723	0.016089109	0.002268812
2019	3	20	3-10	11.6321	26	85	-0.6113	226	Aquatic	214	32.2	29.28	29.47	21.53	16.34	2.94	10.72	8.365	36.71	38.49	32.75	27.69	17.32	2.76	11.15	10.5106	223	0.020224215	0.041300448	0.01470852	0.027623318	0.009621525
2019	4	21	4-1	10.0909	32	54	-1.1348	249	Aquatic	214	30.77	28.61	29.83	21.19	16.5	3.08	8.71	7.5459	38.5	38.7	34.67	29.14	18.05	2.3	9.8	11.6255	246	0.031422764	0.04101626	0.019674797	0.032317073	0.01658374
2019	4	22	4-2	11.0535	30	60	-0.6181	243	Aquatic	214	32.16	29.76	30.84	23.61	16.57	3.1	8.87	8.9123	38.57	38.51	35.02	29.42	17.78	2.66	9.86	11.8188	241	0.02659751	0.036307054	0.017344398	0.024107884	0.012060166
2019	4	23	4-4	10.4226	24	105	-0.0808	196	Terrestrial	151	31.62	28.87	29.06	22.25	17.5	1.88	10.64	8.4991	33.31	32.54	30.77	23.52	15.94	2.19	10.52	7.0714	192	0.008802083	0.019114583	0.00890625	0.006614583	-0.007435938
2019	4	24	4-5	11.0899	28	68	-0.4665	235	Aquatic	214	32.33	32.39	31.37	24.27	16.55	2.66	10.48	8.5702	42.06	42.76	38.95	31.87	20.38	2.61	11.05	15.988	231	0.042121212	0.044891775	0.032813853	0.032900433	0.010735065
2019	4	25	4-6	10.3178	32	54	-1.513	250	Terrestrial	151	30.41	26.86	28.24	20.91	17.65	2.82	8.22	7.8643	31.95	34.74	30.05	26.51	14.55	1.83	9.02	6.6417	246	0.006260163	0.03203252	0.007357724	0.022764228	-0.004969919
2019	4	26	4-7	10.0365	28	68	-0.311	234	Terrestrial	151	31.03	29.94	28.85	23.02	16.57	2.39	10.33	7.7302	32.95	33.4	30.07	24.87	15.23	2.42	10.82	7.458	230	0.008347826	0.015043478	0.005304348	0.008043478	-0.001183478
2019	4	27	4-8	10.7478	24	105	-0.323	199	Aquatic	186	32.5	26.59	29.53	21.56	17.36	2.95	10.97	8.8325	35.21	35.25	31.86	26.26	16.68	4.26	11.94	9.2058	196	0.013826531	0.044183673	0.011887755	0.023979592	0.001904592
2019	4	28	4-9	11.1504	26	85	-0.6113	220	Terrestrial	151	32.29	30.92	30.84	22.81	17.23	2.18	12.2	8.7079	34.2	34.16	32.8	25.38	15.59	2.15	12.96	6.8088	217	0.008801843	0.014930876	0.009032258	0.011843318	-0.008751613
2019	5	29	5-1	7.5087	30	60	-1.0302	241	Terrestrial	151	27.68	27.4	25.27	22.24	15.96	1.8	9.67	6.5127	29.23	31.28	26.37	24.29	13.78	1.83	9.55	6.2289	237	0.006540084	0.016371308	0.00464135	0.008649789	-0.001197468
2019	6	31	6-2	11.757	28	68	-0.7774	224	Terrestrial	151	32.3	27.5	32.37	22.42	17.21	2.87	9.96	9.4269	34.06	36.77	33.96	28.01	16.57	1.9	10.47	7.8832	220	0.008	0.042136364	0.007227273	0.025409091	-0.007016818
2019	6	32	6-4	10.2781	24	105	-0.5653	189	Aquatic	186	30.58	24.42	29.19	21.31	17.28	2.27	9.8	8.0942	33.24	32.56	31.2	23.8	14.97	3.18	9.84	7.8439	186	0.014301075	0.043763441	0.010806452	0.013387097	-0.001345699
2019	6	33	6-5	11.7117	32	54	-2.2696	239	Terrestrial	151	32.42	27.45	31.79	22.6	17.37	2.11	8.72	8.9934	34.36	35.43	32.93	27.3	15.69	1.26	9.86	8.8095	235	0.008255319	0.033957447	0.004851064	0.02	-0.000782553
2019	7	34	7-1	13.6861	24	105	0	182	Aquatic	145	33.98	28.5	31.85	22.52	17.72	2.42	12.08	10.2912	36.47	37.73	34.13	27.26	16.95	3.31	11.5	10.4691	179	0.013910615	0.051564246	0.01273743	0.026480447	0.000993855
2019	7	35	7-2	9.7914	28	68	-0.311	221	Terrestrial	151	30.07	29.16	28.85	19.92	16.36	3.04	9.72	7.4947	31.59	33.38	30.06	23.72	15.38	1.48	9.49	6.8941	217	0.007004608	0.019447005	0.005576037	0.017511521	-0.002767742
2019	7	36	7-3	12.7445	30	60	0	227	Terrestrial	151	32.86	32.37	31.02	24.15	17.68	2.91	11.08	9.993	34.61	35.95	32.45	26.36	15.93	2.58	11.41	9.0281	223	0.007847534	0.016053812	0.006412556	0.009910314	-0.004326906
